Epoch, Accuracy, Overall Loss, RMSE, Maximal Error, Min distance Branch Points, C0-norm, Eigenvalue, Time (s)
31, 31.505590438842773, 31.61065101623535 +/- 0.5738995671272278, 2.0229954719543457 +/- 0.04759255424141884, 7.1750030517578125 +/- 0.24656565487384796, 1.230959415435791 +/- 0.0, 0.870450496673584 +/- 0.005861054640263319, 1.261974811553955 +/- 0.02173176407814026, 1.0138280391693115
32, 30.792152404785156, 30.999820709228516 +/- 0.5143571496009827, 1.9903925657272339 +/- 0.04532666131854057, 7.027826309204102 +/- 0.23986919224262238, 1.230959415435791 +/- 0.0, 0.8701481819152832 +/- 0.006735773757100105, 1.1886918544769287 +/- 0.020192109048366547, 1.0147814750671387
33, 30.161182403564453, 30.365657806396484 +/- 0.5631465911865234, 1.9586007595062256 +/- 0.045998282730579376, 6.8606414794921875 +/- 0.2404928058385849, 1.230959415435791 +/- 0.0, 0.8706493377685547 +/- 0.008565193973481655, 1.1192567348480225 +/- 0.019826728850603104, 1.0141887664794922
34, 29.58110809326172, 29.68470001220703 +/- 0.5152636170387268, 1.9221220016479492 +/- 0.04273996502161026, 6.660795211791992 +/- 0.24079708755016327, 1.230959415435791 +/- 0.0, 0.869796633720398 +/- 0.005867827218025923, 1.051975131034851 +/- 0.018903326243162155, 1.0148334503173828
35, 28.81268310546875, 29.018753051757812 +/- 0.524224579334259, 1.8884344100952148 +/- 0.041139934211969376, 6.4710845947265625 +/- 0.2259422242641449, 1.230959415435791 +/- 0.0, 0.8702497482299805 +/- 0.005760497413575649, 0.988246500492096 +/- 0.017842119559645653, 1.0139236450195312
36, 28.05402374267578, 28.343395233154297 +/- 0.5356966257095337, 1.8525652885437012 +/- 0.04513690620660782, 6.2686052322387695 +/- 0.21961207687854767, 1.230959415435791 +/- 0.0, 0.870070219039917 +/- 0.007255491800606251, 0.9278494119644165 +/- 0.017409106716513634, 1.0146114826202393
37, 27.427776336669922, 27.63100814819336 +/- 0.5283405780792236, 1.816685438156128 +/- 0.04384328052401543, 6.017526626586914 +/- 0.2164812535047531, 1.230959415435791 +/- 0.0, 0.869566798210144 +/- 0.006967534311115742, 0.8702455163002014 +/- 0.015774309635162354, 1.0134296417236328
38, 26.77948570251465, 26.944725036621094 +/- 0.47559985518455505, 1.7839677333831787 +/- 0.04370487108826637, 5.790106773376465 +/- 0.18785488605499268, 1.230959415435791 +/- 0.0, 0.8708963394165039 +/- 0.009476867504417896, 0.8195910453796387 +/- 0.013672500848770142, 1.0145206451416016
39, 26.102392196655273, 26.309490203857422 +/- 0.4736584424972534, 1.7528555393218994 +/- 0.04547082260251045, 5.581360816955566 +/- 0.14354322850704193, 1.230959415435791 +/- 0.0, 0.8721079230308533 +/- 0.009169033728539944, 0.777763843536377 +/- 0.010209872387349606, 1.0136237144470215
40, 25.548259735107422, 25.780643463134766 +/- 0.48291900753974915, 1.7255806922912598 +/- 0.047122836112976074, 5.44013786315918 +/- 0.10303958505392075, 1.230959415435791 +/- 0.0, 0.8741279244422913 +/- 0.008560597896575928, 0.7464962005615234 +/- 0.007861556485295296, 1.0146400928497314
