Epoch, Accuracy, Overall Loss, RMSE, Maximal Error, Min distance Branch Points, C0-norm, Eigenvalue, Time (s)
44, 34.71023941040039, 34.493770599365234 +/- 2.544867992401123, 2.116713285446167 +/- 0.24505169689655304, 8.491178512573242 +/- 0.6581345200538635, 1.0471973419189453 +/- 0.0, 0.8512362241744995 +/- 0.015749922022223473, 10.390357971191406 +/- 0.030694153159856796, 1.7062773704528809
45, 34.302127838134766, 33.977699279785156 +/- 2.5362792015075684, 2.087733268737793 +/- 0.24659879505634308, 8.308767318725586 +/- 0.47947821021080017, 1.0471973419189453 +/- 0.0, 0.8519577383995056 +/- 0.01687791757285595, 10.285832405090332 +/- 0.031918760389089584, 1.7072694301605225
46, 33.831092834472656, 33.5431022644043 +/- 2.4596383571624756, 2.0591378211975098 +/- 0.24027815461158752, 8.123138427734375 +/- 0.5106051564216614, 1.0471973419189453 +/- 0.0, 0.8497343063354492 +/- 0.017342032864689827, 10.162130355834961 +/- 0.05118769407272339, 1.7052524089813232
47, 32.70952606201172, 33.113059997558594 +/- 2.724918842315674, 2.0432770252227783 +/- 0.24577662348747253, 8.093282699584961 +/- 0.905767560005188, 1.0471973419189453 +/- 0.0, 0.8560658097267151 +/- 0.018099812790751457, 9.930163383483887 +/- 0.08161620050668716, 1.7047760486602783
48, 31.57809829711914, 31.846393585205078 +/- 2.642399311065674, 1.9777467250823975 +/- 0.2517966330051422, 7.574235439300537 +/- 0.6435219645500183, 1.0471973419189453 +/- 0.0, 0.8559854030609131 +/- 0.0179961696267128, 9.55313777923584 +/- 0.12773168087005615, 1.7057373523712158
49, 29.507312774658203, 31.27216911315918 +/- 2.5740914344787598, 1.9633543491363525 +/- 0.20273469388484955, 7.616753578186035 +/- 1.3080731630325317, 1.0471973419189453 +/- 0.0, 0.8691796660423279 +/- 0.019846981391310692, 9.084341049194336 +/- 0.14245451986789703, 1.7061452865600586
50, 27.488187789916992, 28.97484588623047 +/- 2.0458157062530518, 1.85749351978302 +/- 0.1754252165555954, 6.564488410949707 +/- 0.6645556092262268, 1.0471973419189453 +/- 0.0, 0.8707984685897827 +/- 0.014210918918251991, 8.583696365356445 +/- 0.14370320737361908, 1.7056958675384521
51, 25.940011978149414, 27.063129425048828 +/- 1.5633975267410278, 1.7617766857147217 +/- 0.14863571524620056, 5.994997024536133 +/- 0.3752293288707733, 1.0471973419189453 +/- 0.0, 0.8813438415527344 +/- 0.011657561175525188, 8.11538314819336 +/- 0.12342074513435364, 1.7064611911773682
52, 25.379709243774414, 25.936594009399414 +/- 1.3527278900146484, 1.6876870393753052 +/- 0.13210168480873108, 5.774116516113281 +/- 0.337208092212677, 1.0471973419189453 +/- 0.0, 0.8844113349914551 +/- 0.011460721492767334, 7.745591163635254 +/- 0.0915442407131195, 1.7088799476623535
53, 24.72165298461914, 25.282039642333984 +/- 1.3436908721923828, 1.642446756362915 +/- 0.12832342088222504, 5.688052177429199 +/- 0.3299328684806824, 1.0471973419189453 +/- 0.0, 0.88637375831604 +/- 0.010212382301688194, 7.472005844116211 +/- 0.07219330221414566, 1.7087626457214355
54, 24.221120834350586, 24.739341735839844 +/- 1.412268877029419, 1.610325574874878 +/- 0.1380579173564911, 5.524503707885742 +/- 0.304747998714447, 1.0471973419189453 +/- 0.0, 0.8869345784187317 +/- 0.010287203826010227, 7.290477752685547 +/- 0.039913248270750046, 1.7093603610992432
55, 23.78057098388672, 24.206228256225586 +/- 1.404819130897522, 1.5832717418670654 +/- 0.13690291345119476, 5.331860542297363 +/- 0.27265670895576477, 1.0471973419189453 +/- 0.0, 0.8886775970458984 +/- 0.010607636533677578, 7.164520263671875 +/- 0.029912222176790237, 1.7087674140930176
56, 23.488508224487305, 23.628597259521484 +/- 1.4170645475387573, 1.5585240125656128 +/- 0.1391400545835495, 5.041685581207275 +/- 0.22247931361198425, 1.0471973419189453 +/- 0.0, 0.8898786306381226 +/- 0.010241162031888962, 7.114046573638916 +/- 0.0030392773915082216, 1.7078971862792969
57, 22.316164016723633, 22.998493194580078 +/- 1.4112401008605957, 1.5260155200958252 +/- 0.13495592772960663, 4.821787357330322 +/- 0.2466726154088974, 1.0471973419189453 +/- 0.0, 0.8939610719680786 +/- 0.011673439294099808, 7.113997459411621 +/- 0.005837783683091402, 1.7106149196624756
58, 22.135883331298828, 22.422853469848633 +/- 1.4531569480895996, 1.4904873371124268 +/- 0.14179885387420654, 4.651393890380859 +/- 0.19699911773204803, 1.0471973419189453 +/- 0.0, 0.8963881134986877 +/- 0.01019463874399662, 7.130602836608887 +/- 0.006798530463129282, 1.7076234817504883
59, 21.596240997314453, 21.916080474853516 +/- 1.4750407934188843, 1.4563953876495361 +/- 0.14038774371147156, 4.529146194458008 +/- 0.20537219941616058, 1.0471973419189453 +/- 0.0, 0.8986660242080688 +/- 0.011788778938353062, 7.128902435302734 +/- 0.009038745425641537, 1.7095236778259277
60, 21.211280822753906, 21.48933982849121 +/- 1.416259527206421, 1.4308876991271973 +/- 0.1342819631099701, 4.388237953186035 +/- 0.22972550988197327, 1.0471973419189453 +/- 0.0, 0.8999606966972351 +/- 0.012721423991024494, 7.101012229919434 +/- 0.006865909788757563, 1.7092652320861816
61, 20.762374877929688, 21.122966766357422 +/- 1.3360141515731812, 1.4054577350616455 +/- 0.12662239372730255, 4.317394256591797 +/- 0.20627416670322418, 1.0471973419189453 +/- 0.0, 0.9018142223358154 +/- 0.011535684578120708, 7.094565391540527 +/- 0.0030401907861232758, 1.7086098194122314
62, 20.415903091430664, 20.792308807373047 +/- 1.2733697891235352, 1.3877346515655518 +/- 0.12121453881263733, 4.196633338928223 +/- 0.20717090368270874, 1.0471973419189453 +/- 0.0, 0.9036428928375244 +/- 0.013620186597108841, 7.085244655609131 +/- 0.0031933642458170652, 1.70811128616333
63, 19.926982879638672, 20.470428466796875 +/- 1.192108154296875, 1.368026852607727 +/- 0.11524403840303421, 4.067441940307617 +/- 0.19547110795974731, 1.0471973419189453 +/- 0.0, 0.903788149356842 +/- 0.015883488580584526, 7.087270736694336 +/- 0.004647022113204002, 1.7091329097747803
64, 20.2369384765625, 21.946109771728516 +/- 4.622339248657227, 1.42917799949646 +/- 0.20472629368305206, 5.15553092956543 +/- 2.760117292404175, 1.0471973419189453 +/- 0.0, 0.9163436889648438 +/- 0.01718631200492382, 7.077692985534668 +/- 0.02070724219083786, 1.7075526714324951
65, 19.785869598388672, 20.18968963623047 +/- 1.189632534980774, 1.3467249870300293 +/- 0.09663098305463791, 4.04481315612793 +/- 0.518790602684021, 1.0471973419189453 +/- 0.0, 0.9058595895767212 +/- 0.014127369970083237, 7.085705757141113 +/- 0.030052360147237778, 1.7076516151428223
66, 19.0833797454834, 19.69077491760254 +/- 0.9269253015518188, 1.3282134532928467 +/- 0.09054967015981674, 3.7126564979553223 +/- 0.17286868393421173, 1.0471973419189453 +/- 0.0, 0.9057086706161499 +/- 0.012707953341305256, 7.1630024909973145 +/- 0.017503788694739342, 1.707411527633667
67, 18.830713272094727, 19.39314842224121 +/- 0.8486684560775757, 1.316359281539917 +/- 0.08243898302316666, 3.5517818927764893 +/- 0.15089604258537292, 1.0471973419189453 +/- 0.0, 0.9069362878799438 +/- 0.010482829064130783, 7.202792167663574 +/- 0.0067597986198961735, 1.7063395977020264
68, 18.648984909057617, 19.280210494995117 +/- 0.8037720322608948, 1.3069822788238525 +/- 0.07878395915031433, 3.5322458744049072 +/- 0.17146897315979004, 1.0471973419189453 +/- 0.0, 0.9081941246986389 +/- 0.015514965169131756, 7.244953632354736 +/- 0.008496011607348919, 1.707573652267456
69, 18.597932815551758, 19.062692642211914 +/- 0.8364300727844238, 1.2948871850967407 +/- 0.0814313143491745, 3.436554193496704 +/- 0.16457170248031616, 1.0471973419189453 +/- 0.0, 0.9083199501037598 +/- 0.013044849969446659, 7.278903007507324 +/- 0.010649855248630047, 1.7081665992736816
70, 18.334524154663086, 18.897968292236328 +/- 0.8185396790504456, 1.2854633331298828 +/- 0.07801485806703568, 3.3833141326904297 +/- 0.17044946551322937, 1.0471973419189453 +/- 0.0, 0.9095972180366516 +/- 0.013078531250357628, 7.302592754364014 +/- 0.00922059640288353, 1.708634853363037
71, 18.46270751953125, 18.77960968017578 +/- 0.7465630769729614, 1.2755407094955444 +/- 0.07348177582025528, 3.36490797996521 +/- 0.14662174880504608, 1.0471973419189453 +/- 0.0, 0.910024106502533 +/- 0.013260861858725548, 7.3285698890686035 +/- 0.009241008199751377, 1.7081170082092285
72, 18.07708168029785, 18.634784698486328 +/- 0.6845086812973022, 1.267173171043396 +/- 0.0685114711523056, 3.3022964000701904 +/- 0.14505453407764435, 1.0471973419189453 +/- 0.0, 0.9101037383079529 +/- 0.012898162938654423, 7.3439507484436035 +/- 0.010327423922717571, 1.7050361633300781
73, 18.147804260253906, 18.49007797241211 +/- 0.7103866934776306, 1.25874924659729 +/- 0.0704217255115509, 3.2610111236572266 +/- 0.14269259572029114, 1.0471973419189453 +/- 0.0, 0.9111576676368713 +/- 0.012083593755960464, 7.350712299346924 +/- 0.006554324645549059, 1.7069919109344482
74, 17.77241325378418, 18.341506958007812 +/- 0.6637922525405884, 1.2493642568588257 +/- 0.06715776026248932, 3.2210493087768555 +/- 0.1509234458208084, 1.0471973419189453 +/- 0.0, 0.9121840596199036 +/- 0.012131360359489918, 7.36373233795166 +/- 0.0093563012778759, 1.7059636116027832
75, 17.94516372680664, 22.672351837158203 +/- 7.499530792236328, 1.4161229133605957 +/- 0.30020028352737427, 6.136486053466797 +/- 4.700284004211426, 1.0471973419189453 +/- 0.0, 0.9288150072097778 +/- 0.017748909071087837, 7.345621109008789 +/- 0.012663540430366993, 1.7088773250579834
76, 17.76946449279785, 18.356218338012695 +/- 0.7168383598327637, 1.2499737739562988 +/- 0.06817217916250229, 3.2338457107543945 +/- 0.16398826241493225, 1.0471973419189453 +/- 0.0, 0.9128921627998352 +/- 0.013596978038549423, 7.381472110748291 +/- 0.014043747447431087, 1.7087345123291016
77, 18.333215713500977, 18.131921768188477 +/- 0.6903135180473328, 1.2379405498504639 +/- 0.06928479671478271, 3.129188060760498 +/- 0.14048044383525848, 1.0471973419189453 +/- 0.0, 0.913023829460144 +/- 0.010875189676880836, 7.42006254196167 +/- 0.009713334031403065, 1.7065560817718506
78, 17.507545471191406, 18.041240692138672 +/- 0.6754787564277649, 1.2324764728546143 +/- 0.06418542563915253, 3.109276294708252 +/- 0.14898349344730377, 1.0471973419189453 +/- 0.0, 0.9139529466629028 +/- 0.010239474475383759, 7.425223350524902 +/- 0.008417676202952862, 1.7096552848815918
79, 17.727859497070312, 17.99282455444336 +/- 0.688440203666687, 1.2278233766555786 +/- 0.06812948733568192, 3.1063411235809326 +/- 0.16439388692378998, 1.0471973419189453 +/- 0.0, 0.9148570895195007 +/- 0.015219924971461296, 7.440616607666016 +/- 0.00859699584543705, 1.7092130184173584
80, 17.25507926940918, 17.797210693359375 +/- 0.6862175464630127, 1.2164632081985474 +/- 0.06613095849752426, 3.0306639671325684 +/- 0.1389724463224411, 1.0471973419189453 +/- 0.0, 0.9148076772689819 +/- 0.010605043731629848, 7.4595794677734375 +/- 0.010866787284612656, 1.7095048427581787
81, 17.617061614990234, 18.003299713134766 +/- 1.235274076461792, 1.2196400165557861 +/- 0.07060364633798599, 3.250427007675171 +/- 0.7818760871887207, 1.0471973419189453 +/- 0.0, 0.9178391695022583 +/- 0.01159632857888937, 7.471942901611328 +/- 0.005090808495879173, 1.7088706493377686
82, 17.288591384887695, 18.654865264892578 +/- 1.6458942890167236, 1.2421220541000366 +/- 0.08234073221683502, 3.7486226558685303 +/- 1.073812484741211, 1.0471973419189453 +/- 0.0, 0.9224374294281006 +/- 0.013273268006742, 7.463238716125488 +/- 0.013187864795327187, 1.7069957256317139
83, 17.074073791503906, 17.542959213256836 +/- 0.6049590110778809, 1.1969404220581055 +/- 0.05927576124668121, 2.984450340270996 +/- 0.15703563392162323, 1.0471973419189453 +/- 0.0, 0.916252851486206 +/- 0.011326814070343971, 7.499662399291992 +/- 0.0115789994597435, 1.7087655067443848
84, 16.78978157043457, 17.40843963623047 +/- 0.601176381111145, 1.1869019269943237 +/- 0.05705602094531059, 2.950796127319336 +/- 0.167688250541687, 1.0471973419189453 +/- 0.0, 0.9168643355369568 +/- 0.012520764954388142, 7.527165412902832 +/- 0.011527236551046371, 1.7078049182891846
85, 16.858810424804688, 17.243513107299805 +/- 0.6535545587539673, 1.1747422218322754 +/- 0.06432367861270905, 2.908846378326416 +/- 0.15477362275123596, 1.0471973419189453 +/- 0.0, 0.9172621369361877 +/- 0.012269842438399792, 7.550540924072266 +/- 0.00860576145350933, 1.7097303867340088
86, 16.486629486083984, 17.08336639404297 +/- 0.6325480937957764, 1.1650769710540771 +/- 0.06042364239692688, 2.85903263092041 +/- 0.14917941391468048, 1.0471973419189453 +/- 0.0, 0.918045163154602 +/- 0.00985024869441986, 7.568802833557129 +/- 0.019661255180835724, 1.7089920043945312
87, 16.506675720214844, 16.942916870117188 +/- 0.5968561172485352, 1.1542763710021973 +/- 0.05867835134267807, 2.823904514312744 +/- 0.13218353688716888, 1.0471973419189453 +/- 0.0, 0.9188831448554993 +/- 0.01232465822249651, 7.612257480621338 +/- 0.009547246620059013, 1.7087900638580322
88, 16.583328247070312, 16.851591110229492 +/- 0.6276344656944275, 1.145460605621338 +/- 0.05939645320177078, 2.818495035171509 +/- 0.16421963274478912, 1.0471973419189453 +/- 0.0, 0.9190741181373596 +/- 0.010897187516093254, 7.646856307983398 +/- 0.008086017332971096, 1.7088603973388672
89, 16.965984344482422, 18.672870635986328 +/- 3.276427745819092, 1.2081578969955444 +/- 0.12833203375339508, 4.161649703979492 +/- 2.1882641315460205, 1.0471973419189453 +/- 0.0, 0.9300567507743835 +/- 0.015107792802155018, 7.67044734954834 +/- 0.0085506746545434, 1.7085158824920654
90, 16.51488494873047, 16.93658447265625 +/- 0.8221262693405151, 1.1455845832824707 +/- 0.05862516164779663, 2.926048517227173 +/- 0.4409543573856354, 1.0471973419189453 +/- 0.0, 0.9213305711746216 +/- 0.011032430455088615, 7.694530487060547 +/- 0.012213031761348248, 1.70957350730896
91, 15.994227409362793, 16.61448860168457 +/- 0.6199713349342346, 1.126906156539917 +/- 0.05802649259567261, 2.760254144668579 +/- 0.16043052077293396, 1.0471973419189453 +/- 0.0, 0.9198436737060547 +/- 0.011735709384083748, 7.715583324432373 +/- 0.01573559269309044, 1.7088608741760254
