Epoch, Accuracy, Overall Loss, RMSE, Maximal Error, Min distance Branch Points, C0-norm, Eigenvalue, Time (s)
30, 48.979034423828125, 50.00096893310547 +/- 1.3232924938201904, 3.0975701808929443 +/- 0.09786363691091537, 16.204883575439453 +/- 0.9199432730674744, 1.136009931564331 +/- 0.0005973638617433608, 0.849172830581665 +/- 0.020694918930530548, 13.564971923828125 +/- 0.09930403530597687, 1.0171997547149658
31, 47.515281677246094, 48.50224685668945 +/- 1.2924388647079468, 3.053837776184082 +/- 0.09355641156435013, 15.062019348144531 +/- 0.7566410303115845, 1.1380724906921387 +/- 0.0006038430728949606, 0.8454468250274658 +/- 0.01417210791260004, 13.886845588684082 +/- 0.0804525837302208, 1.0155165195465088
32, 46.438819885253906, 47.1299934387207 +/- 1.066016674041748, 3.0218634605407715 +/- 0.08470624685287476, 13.996358871459961 +/- 0.6327192187309265, 1.1401185989379883 +/- 0.0005925518926233053, 0.844646692276001 +/- 0.013357046991586685, 14.094868659973145 +/- 0.044654157012701035, 1.017441987991333
33, 45.31721115112305, 45.916709899902344 +/- 1.0558699369430542, 2.9769034385681152 +/- 0.09097536653280258, 13.117473602294922 +/- 0.505858302116394, 1.1421864032745361 +/- 0.0006237603374756873, 0.840415894985199 +/- 0.009588505141437054, 14.183557510375977 +/- 0.007764915004372597, 1.0173461437225342
34, 44.43228530883789, 45.00401306152344 +/- 1.0353177785873413, 2.9045755863189697 +/- 0.09194736182689667, 12.598886489868164 +/- 0.44927212595939636, 1.1443040370941162 +/- 0.000593070057220757, 0.830330491065979 +/- 0.012575467117130756, 14.14739990234375 +/- 0.023161975666880608, 1.0177414417266846
35, 43.580528259277344, 44.24739456176758 +/- 0.9936525225639343, 2.8300232887268066 +/- 0.09099946916103363, 12.474445343017578 +/- 0.4322862923145294, 1.1463812589645386 +/- 0.0005871462635695934, 0.8267362117767334 +/- 0.012301822192966938, 14.074005126953125 +/- 0.023972228169441223, 1.0178463459014893
36, 43.54773712158203, 43.574222564697266 +/- 1.0262823104858398, 2.7619218826293945 +/- 0.09221743792295456, 12.399937629699707 +/- 0.365532785654068, 1.148419737815857 +/- 0.0006046382477506995, 0.8238792419433594 +/- 0.008134393952786922, 13.959108352661133 +/- 0.03893692046403885, 1.01755690574646
37, 42.84379959106445, 43.0081787109375 +/- 1.1260448694229126, 2.702880859375 +/- 0.10223052650690079, 12.511354446411133 +/- 0.5450981855392456, 1.1504652500152588 +/- 0.0006509148515760899, 0.82657390832901 +/- 0.015050255693495274, 13.835187911987305 +/- 0.03863421827554703, 1.0172886848449707
38, 42.166141510009766, 42.31078338623047 +/- 1.2261160612106323, 2.641265392303467 +/- 0.10618017613887787, 12.424781799316406 +/- 0.5683898329734802, 1.1524837017059326 +/- 0.0006144174258224666, 0.8262684345245361 +/- 0.016139334067702293, 13.668371200561523 +/- 0.055039118975400925, 1.0179290771484375
39, 41.15631866455078, 41.618412017822266 +/- 1.1265352964401245, 2.5784590244293213 +/- 0.10241950303316116, 12.371192932128906 +/- 0.5324198007583618, 1.1545326709747314 +/- 0.0005703350761905313, 0.8264267444610596 +/- 0.017184758558869362, 13.46102523803711 +/- 0.061395470052957535, 1.0156888961791992
40, 42.10218811035156, 40.98193359375 +/- 1.254233717918396, 2.5200235843658447 +/- 0.11200384050607681, 12.37831974029541 +/- 0.5948284864425659, 1.1565284729003906 +/- 0.0005657793371938169, 0.8278641700744629 +/- 0.016838273033499718, 13.289621353149414 +/- 0.05209538713097572, 1.0159592628479004
41, 39.72986602783203, 40.30205535888672 +/- 1.308792233467102, 2.470396041870117 +/- 0.11460860073566437, 12.248763084411621 +/- 0.6694315671920776, 1.1584992408752441 +/- 0.0005794186145067215, 0.8297902345657349 +/- 0.022008530795574188, 13.145164489746094 +/- 0.042543794959783554, 1.0156681537628174
42, 40.03776168823242, 39.26432418823242 +/- 1.3537216186523438, 2.3996291160583496 +/- 0.12524601817131042, 11.930915832519531 +/- 0.5189743041992188, 1.1604928970336914 +/- 0.0005752451834268868, 0.8292721509933472 +/- 0.016351446509361267, 13.043915748596191 +/- 0.03700534254312515, 1.017313003540039
43, 37.685943603515625, 38.398075103759766 +/- 1.4517921209335327, 2.340867042541504 +/- 0.13490800559520721, 11.71750259399414 +/- 0.5024787783622742, 1.162467122077942 +/- 0.0005698503227904439, 0.8310656547546387 +/- 0.017451893538236618, 13.016986846923828 +/- 0.008374735713005066, 1.015749216079712
44, 37.85369873046875, 37.54011154174805 +/- 1.6049473285675049, 2.277498722076416 +/- 0.14399155974388123, 11.593757629394531 +/- 0.6060271859169006, 1.1644599437713623 +/- 0.0005755259189754725, 0.8342924118041992 +/- 0.021422863006591797, 13.028450012207031 +/- 0.034219030290842056, 1.016873836517334
45, 36.289703369140625, 36.39242935180664 +/- 1.6777217388153076, 2.203864097595215 +/- 0.1602398306131363, 11.193219184875488 +/- 0.47734564542770386, 1.1664577722549438 +/- 0.0005746642709709704, 0.83420330286026 +/- 0.02001660130918026, 13.139771461486816 +/- 0.038026124238967896, 1.0159270763397217
46, 34.929359436035156, 35.24678039550781 +/- 1.7761561870574951, 2.125532388687134 +/- 0.17292483150959015, 10.924530029296875 +/- 0.429545521736145, 1.1684670448303223 +/- 0.000585349858738482, 0.836471676826477 +/- 0.017029043287038803, 13.339360237121582 +/- 0.09038510173559189, 1.0158112049102783
47, 33.37244415283203, 34.314109802246094 +/- 2.0585103034973145, 2.0729289054870605 +/- 0.20212318003177643, 10.590484619140625 +/- 0.5182197690010071, 1.1704882383346558 +/- 0.0005833995528519154, 0.838859498500824 +/- 0.020436204969882965, 13.661293983459473 +/- 0.12024857103824615, 1.0159924030303955
48, 32.475303649902344, 33.45852279663086 +/- 2.1743037700653076, 2.0224838256835938 +/- 0.21728381514549255, 10.325565338134766 +/- 0.3806537985801697, 1.1724860668182373 +/- 0.000579820538405329, 0.8409058451652527 +/- 0.01694546453654766, 14.098870277404785 +/- 0.12659932672977448, 1.017995834350586
